sku_id,sku_name,category,subcategory,unit_price,cost_price,brand,profit_per_unit,profit_margin_pct
1001,Electronics_Chargers_1001,Electronics,Chargers,164.56,103.44,Budget,61.120000000000005,37.14146815751094
1002,Dairy_Cream_1002,Dairy,Cream,13.73,8.96,Local,4.77,34.7414420975965
1003,Household_Cleaning Supplies_1003,Household,Cleaning Supplies,12.0,7.47,BlueMart,4.53,37.75
1004,Beverages_Juices_1004,Beverages,Juices,24.82,17.58,International,7.240000000000002,29.17002417405319
1005,Household_Paper Products_1005,Household,Paper Products,17.7,13.68,Budget,4.02,22.711864406779657
1006,Beverages_Coffee_1006,Beverages,Coffee,12.62,9.8,Premium,2.8199999999999985,22.345483359746424
1007,Personal Care_Shampoo_1007,Personal Care,Shampoo,67.26,51.47,BlueMart,15.790000000000006,23.476063038953324
1008,Personal Care_Shampoo_1008,Personal Care,Shampoo,43.94,31.77,Premium,12.169999999999998,27.69685935366408
1009,Electronics_Batteries_1009,Electronics,Batteries,90.95,61.82,Local,29.130000000000003,32.0285871357889
1010,Grocery_Rice_1010,Grocery,Rice,16.43,10.05,Budget,6.379999999999999,38.83140596469872
1011,Personal Care_Shampoo_1011,Personal Care,Shampoo,20.37,16.28,Premium,4.09,20.078546882670594
1012,Beverages_Juices_1012,Beverages,Juices,14.1,7.87,Premium,6.2299999999999995,44.184397163120565
1013,Grocery_Cereals_1013,Grocery,Cereals,35.63,24.33,Premium,11.300000000000004,31.714847039012078
1014,Dairy_Butter_1014,Dairy,Butter,7.83,5.03,Premium,2.8,35.759897828863345
1015,Dairy_Cream_1015,Dairy,Cream,27.13,19.22,Budget,7.91,29.15591596019167
1016,Grocery_Rice_1016,Grocery,Rice,19.44,11.6,BlueMart,7.840000000000002,40.32921810699589
1017,Household_Paper Products_1017,Household,Paper Products,43.23,23.96,Budget,19.269999999999996,44.57552625491556
1018,Personal Care_Deodorant_1018,Personal Care,Deodorant,55.16,32.74,Budget,22.419999999999995,40.64539521392312
1019,Electronics_Cables_1019,Electronics,Cables,211.86,152.31,Local,59.55000000000001,28.10818465024073
1020,Beverages_Juices_1020,Beverages,Juices,9.96,7.12,Local,2.8400000000000007,28.514056224899605
1021,Grocery_Canned Goods_1021,Grocery,Canned Goods,28.83,17.6,BlueMart,11.229999999999997,38.95248005549774
1022,Household_Cleaning Supplies_1022,Household,Cleaning Supplies,54.82,38.83,Premium,15.990000000000002,29.168186793141192
1023,Personal Care_Toothpaste_1023,Personal Care,Toothpaste,60.82,47.09,International,13.729999999999997,22.574810917461356
1024,Grocery_Canned Goods_1024,Grocery,Canned Goods,8.79,5.19,International,3.5999999999999988,40.9556313993174
1025,Household_Detergent_1025,Household,Detergent,8.48,4.88,Budget,3.6000000000000005,42.45283018867924
1026,Snacks_Biscuits_1026,Snacks,Biscuits,5.7,3.92,Budget,1.7800000000000002,31.2280701754386
1027,Snacks_Chips_1027,Snacks,Chips,6.05,3.35,Premium,2.6999999999999997,44.628099173553714
1028,Household_Paper Products_1028,Household,Paper Products,41.78,31.85,Budget,9.93,23.76735280038296
1029,Grocery_Canned Goods_1029,Grocery,Canned Goods,27.9,19.78,Premium,8.119999999999997,29.10394265232974
1030,Dairy_Cream_1030,Dairy,Cream,22.04,17.11,Premium,4.93,22.36842105263158
1031,Snacks_Chips_1031,Snacks,Chips,15.27,10.28,BlueMart,4.99,32.678454485920106
1032,Snacks_Chocolates_1032,Snacks,Chocolates,15.16,11.25,BlueMart,3.91,25.79155672823219
1033,Household_Paper Products_1033,Household,Paper Products,32.44,20.11,International,12.329999999999998,38.00863131935881
1034,Household_Cleaning Supplies_1034,Household,Cleaning Supplies,57.56,36.42,Budget,21.14,36.726893676164
1035,Electronics_Batteries_1035,Electronics,Batteries,245.38,139.58,Premium,105.79999999999998,43.11679843508028
1036,Electronics_Mobile Accessories_1036,Electronics,Mobile Accessories,89.48,53.01,Budget,36.470000000000006,40.757711220384444
1037,Electronics_Cables_1037,Electronics,Cables,178.57,123.66,BlueMart,54.91,30.749845998767988
1038,Electronics_Cables_1038,Electronics,Cables,99.28,60.91,Premium,38.370000000000005,38.64826752618856
1039,Beverages_Soft Drinks_1039,Beverages,Soft Drinks,25.91,15.14,Local,10.77,41.566962562717094
1040,Electronics_Mobile Accessories_1040,Electronics,Mobile Accessories,84.68,55.46,Premium,29.220000000000006,34.50637694851205
1041,Snacks_Nuts_1041,Snacks,Nuts,13.76,9.29,Local,4.470000000000001,32.48546511627908
1042,Grocery_Canned Goods_1042,Grocery,Canned Goods,44.9,25.0,Budget,19.9,44.32071269487751
1043,Electronics_Batteries_1043,Electronics,Batteries,23.45,15.63,Budget,7.8199999999999985,33.34754797441364
1044,Snacks_Biscuits_1044,Snacks,Biscuits,21.79,13.35,BlueMart,8.44,38.73336392840753
1045,Electronics_Cables_1045,Electronics,Cables,141.21,89.2,Local,52.010000000000005,36.831669145244675
1046,Household_Paper Products_1046,Household,Paper Products,58.19,38.66,Local,19.53,33.56246777796873
1047,Household_Detergent_1047,Household,Detergent,36.11,25.61,Local,10.5,29.077817779008587
1048,Snacks_Biscuits_1048,Snacks,Biscuits,13.87,8.75,Local,5.119999999999999,36.91420331651045
1049,Electronics_Batteries_1049,Electronics,Batteries,118.16,67.31,BlueMart,50.849999999999994,43.03486797562627
1050,Snacks_Chips_1050,Snacks,Chips,17.84,10.07,International,7.77,43.55381165919282
1051,Electronics_Cables_1051,Electronics,Cables,71.35,40.92,BlueMart,30.429999999999993,42.64891380518569
1052,Snacks_Crackers_1052,Snacks,Crackers,16.68,11.33,Budget,5.35,32.07434052757794
1053,Snacks_Crackers_1053,Snacks,Crackers,11.65,7.13,Premium,4.5200000000000005,38.79828326180258
1054,Snacks_Chips_1054,Snacks,Chips,9.86,5.65,BlueMart,4.209999999999999,42.69776876267748
1055,Dairy_Butter_1055,Dairy,Butter,11.14,6.17,Local,4.970000000000001,44.614003590664275
1056,Snacks_Nuts_1056,Snacks,Nuts,5.98,3.94,Premium,2.0400000000000005,34.113712374581944
1057,Beverages_Tea_1057,Beverages,Tea,26.94,16.57,BlueMart,10.370000000000001,38.492947290274685
1058,Personal Care_Soap_1058,Personal Care,Soap,45.07,30.87,Budget,14.2,31.506545373862878
1059,Electronics_Cables_1059,Electronics,Cables,21.23,14.79,International,6.440000000000001,30.334432406971274
1060,Household_Detergent_1060,Household,Detergent,37.82,22.02,Local,15.8,41.776837652035965
1061,Personal Care_Skincare_1061,Personal Care,Skincare,53.82,40.64,Budget,13.18,24.48903753251579
1062,Personal Care_Deodorant_1062,Personal Care,Deodorant,29.18,17.61,Premium,11.57,39.65044551062372
1063,Snacks_Chocolates_1063,Snacks,Chocolates,16.22,10.29,Budget,5.93,36.559802712700375
1064,Snacks_Biscuits_1064,Snacks,Biscuits,17.68,11.23,Premium,6.449999999999999,36.48190045248869
1065,Electronics_Chargers_1065,Electronics,Chargers,177.83,113.29,International,64.54,36.29308890513412
1066,Household_Cleaning Supplies_1066,Household,Cleaning Supplies,49.78,30.89,BlueMart,18.89,37.94696665327441
1067,Grocery_Cereals_1067,Grocery,Cereals,49.57,32.38,Premium,17.189999999999998,34.67823280209804
1068,Electronics_Chargers_1068,Electronics,Chargers,95.09,74.43,International,20.659999999999997,21.72678515090966
1069,Grocery_Spices_1069,Grocery,Spices,38.3,23.35,Premium,14.949999999999996,39.03394255874672
1070,Grocery_Canned Goods_1070,Grocery,Canned Goods,42.19,26.58,International,15.61,36.99928893102631
1071,Grocery_Canned Goods_1071,Grocery,Canned Goods,5.49,4.26,BlueMart,1.2300000000000004,22.40437158469946
1072,Electronics_Chargers_1072,Electronics,Chargers,238.26,187.67,Budget,50.59,21.233106690170402
1073,Electronics_Chargers_1073,Electronics,Chargers,120.38,75.03,Premium,45.349999999999994,37.67237082571855
1074,Personal Care_Skincare_1074,Personal Care,Skincare,62.67,46.87,Local,15.800000000000004,25.211424924206167
1075,Snacks_Crackers_1075,Snacks,Crackers,13.37,7.55,Budget,5.819999999999999,43.53029169783096
1076,Snacks_Chocolates_1076,Snacks,Chocolates,22.42,14.3,BlueMart,8.120000000000001,36.217662801070475
1077,Household_Cleaning Supplies_1077,Household,Cleaning Supplies,47.6,33.54,BlueMart,14.060000000000002,29.537815126050425
1078,Electronics_Cables_1078,Electronics,Cables,179.73,102.12,Local,77.60999999999999,43.18143882490402
1079,Beverages_Juices_1079,Beverages,Juices,5.2,2.97,International,2.23,42.88461538461538
